Cell_ID,Sample,Cell_Type,x,y
E12_E1S3_103743,E12_E1S3,Fibro,16389,18892
E12_E1S3_103761,E12_E1S3,GlioB,16390,18642
E12_E1S3_103770,E12_E1S3,RGC,16393,18398
E12_E1S3_103780,E12_E1S3,RGC,16393,18467.5
E12_E1S3_103789,E12_E1S3,NeuB,16391,18624
E12_E1S3_103804,E12_E1S3,RGC,16401,18507
E12_E1S3_103805,E12_E1S3,GlioB,16399,18716
E12_E1S3_103813,E12_E1S3,Endo,16397,17961
E12_E1S3_103814,E12_E1S3,RGC,16401,18101
E12_E1S3_103815,E12_E1S3,RGC,16398,18437
E12_E1S3_103816,E12_E1S3,Fibro,16396,18912
E12_E1S3_103826,E12_E1S3,GluNeu,16397,18002
E12_E1S3_103827,E12_E1S3,RGC,16393,18375
E12_E1S3_103828,E12_E1S3,Ery,16400,18803
E12_E1S3_103836,E12_E1S3,RGC,16400,18258
E12_E1S3_103837,E12_E1S3,NeuB,16397,18753
E12_E1S3_103865,E12_E1S3,RGC,16405,18136
E12_E1S3_103867,E12_E1S3,RGC,16397,18533
E12_E1S3_103888,E12_E1S3,GluNeuB,16406,18205
E12_E1S3_103889,E12_E1S3,RGC,16399,18661
E12_E1S3_103900,E12_E1S3,RGC,16419,18218
E12_E1S3_103901,E12_E1S3,Fibro,16405,18877
E12_E1S3_103909,E12_E1S3,RGC,16411,18469
E12_E1S3_103928,E12_E1S3,GlioB,16409,18777
E12_E1S3_103944,E12_E1S3,RGC,16410,18349
E12_E1S3_103945,E12_E1S3,GlioB,16411,18691
E12_E1S3_103979,E12_E1S3,RGC,16424,18718
E12_E1S3_103993,E12_E1S3,RGC,16418,18322
E12_E1S3_103994,E12_E1S3,GlioB,16420,18739
E12_E1S3_104004,E12_E1S3,RGC,16429,18099
E12_E1S3_104005,E12_E1S3,RGC,16413,18185
E12_E1S3_104011,E12_E1S3,RGC,16419,18266
E12_E1S3_104017,E12_E1S3,RGC,16425,18066
E12_E1S3_104018,E12_E1S3,RGC,16416,18420
E12_E1S3_104019,E12_E1S3,RGC,16433,18550
E12_E1S3_104024,E12_E1S3,Fibro,16416,18923
E12_E1S3_104034,E12_E1S3,GlioB,16420,18121
E12_E1S3_104042,E12_E1S3,GlioB,16433,18668
E12_E1S3_104051,E12_E1S3,RGC,16421.5,18288
E12_E1S3_104052,E12_E1S3,RGC,16425,18764
E12_E1S3_104053,E12_E1S3,NeuB,16427,18790.5
E12_E1S3_104068,E12_E1S3,RGC,16429,18021
E12_E1S3_104069,E12_E1S3,RGC,16430,18463
E12_E1S3_104090,E12_E1S3,GluNeuB,16431,18008
E12_E1S3_104091,E12_E1S3,NeuB,16433,18236
E12_E1S3_104092,E12_E1S3,NeuB,16437,18689
E12_E1S3_104098,E12_E1S3,Fibro,16435,18617
E12_E1S3_104118,E12_E1S3,RGC,16436,18302
E12_E1S3_104125,E12_E1S3,NeuB,16433,18533
E12_E1S3_104126,E12_E1S3,GlioB,16437,18637
E12_E1S3_104127,E12_E1S3,Fibro,16444,18903
E12_E1S3_104136,E12_E1S3,RGC,16433,18504
E12_E1S3_104166,E12_E1S3,RGC,16439,18282
E12_E1S3_104167,E12_E1S3,Fibro,16445,18331
E12_E1S3_104175,E12_E1S3,RGC,16442,18118
E12_E1S3_104185,E12_E1S3,RGC,16450,18148
E12_E1S3_104186,E12_E1S3,RGC,16431,18442
E12_E1S3_104187,E12_E1S3,GlioB,16441,18770
E12_E1S3_104197,E12_E1S3,RGC,16430,18254
E12_E1S3_104198,E12_E1S3,GABA,16441,18803
E12_E1S3_104206,E12_E1S3,RGC,16454,18048
E12_E1S3_104216,E12_E1S3,RGC,16432,18032
E12_E1S3_104239,E12_E1S3,Basal,16448,18711
E12_E1S3_104244,E12_E1S3,NeuB,16449,18456
E12_E1S3_104250,E12_E1S3,RGC,16456,18178
E12_E1S3_104254,E12_E1S3,NeuB,16447,17992
E12_E1S3_104267,E12_E1S3,GlioB,16449,18625
E12_E1S3_104301,E12_E1S3,RGC,16456,18566
E12_E1S3_104310,E12_E1S3,GlioB,16453,18690
E12_E1S3_104318,E12_E1S3,NeuB,16462,18070
E12_E1S3_104326,E12_E1S3,GlioB,16465,18760
E12_E1S3_104330,E12_E1S3,GlioB,16448,18741
E12_E1S3_104331,E12_E1S3,Fibro,16455,18820
E12_E1S3_104338,E12_E1S3,RGC,16454,18312
E12_E1S3_104339,E12_E1S3,RGC,16461,18505
E12_E1S3_104340,E12_E1S3,RGC,16457.5,18532
E12_E1S3_104349,E12_E1S3,RGC,16472,17996
E12_E1S3_104350,E12_E1S3,RGC,16457,18236.5
E12_E1S3_104351,E12_E1S3,GlioB,16453,18652
E12_E1S3_104352,E12_E1S3,GlioB,16464,18788
E12_E1S3_104362,E12_E1S3,NeuB,16457,18277
E12_E1S3_104363,E12_E1S3,RGC,16471,18333
E12_E1S3_104364,E12_E1S3,Fibro,16461,18925
E12_E1S3_104393,E12_E1S3,RGC,16461,18483
E12_E1S3_104394,E12_E1S3,RGC,16463,18602
E12_E1S3_104399,E12_E1S3,RGC,16463,18095
E12_E1S3_104400,E12_E1S3,NeuB,16465,18635
E12_E1S3_104401,E12_E1S3,NeuB,16469.5,18722
E12_E1S3_104408,E12_E1S3,RGC,16454,18204
E12_E1S3_104409,E12_E1S3,RGC,16464,18296
E12_E1S3_104419,E12_E1S3,RGC,16481,18022
E12_E1S3_104427,E12_E1S3,Ery,16473,18877
E12_E1S3_104455,E12_E1S3,RGC,16473,18222
E12_E1S3_104462,E12_E1S3,GlioB,16474,18680
E12_E1S3_104472,E12_E1S3,RGC,16473,18126
E12_E1S3_104500,E12_E1S3,RGC,16472,18056
E12_E1S3_104517,E12_E1S3,RGC,16480,18269
E12_E1S3_104518,E12_E1S3,RGC,16479,18396
E12_E1S3_104519,E12_E1S3,GlioB,16483,18582
E12_E1S3_104527,E12_E1S3,RGC,16480,18157
E12_E1S3_104528,E12_E1S3,NeuB,16478,18527
E12_E1S3_104544,E12_E1S3,GlioB,16479,18652
E12_E1S3_104548,E12_E1S3,RGC,16484,18242
E12_E1S3_104552,E12_E1S3,GluNeuB,16480,18081
E12_E1S3_104553,E12_E1S3,RGC,16481,18375
E12_E1S3_104555,E12_E1S3,RGC,16487,18794
E12_E1S3_104556,E12_E1S3,GlioB,16490,18820
E12_E1S3_104557,E12_E1S3,Fibro,16493,18922
E12_E1S3_104567,E12_E1S3,RGC,16484,18552
E12_E1S3_104568,E12_E1S3,GluNeuB,16487,18607
E12_E1S3_104569,E12_E1S3,GluNeuB,16483,18758
E12_E1S3_104595,E12_E1S3,RGC,16493,18201
E12_E1S3_104602,E12_E1S3,GABA,16491,18501
E12_E1S3_104603,E12_E1S3,GlioB,16492,18696
E12_E1S3_104613,E12_E1S3,RGC,16492,18453
E12_E1S3_104624,E12_E1S3,GlioB,16492,18669
E12_E1S3_104644,E12_E1S3,GluNeuB,16505,17995
E12_E1S3_104645,E12_E1S3,RGC,16490,18176
E12_E1S3_104646,E12_E1S3,GluNeuB,16493,18846
E12_E1S3_104653,E12_E1S3,RGC,16497,18474
E12_E1S3_104676,E12_E1S3,RGC,16498,18229
E12_E1S3_104705,E12_E1S3,RGC,16498,18579
E12_E1S3_104706,E12_E1S3,Fibro,16496,18882
E12_E1S3_104722,E12_E1S3,NeuB,16497,18070
E12_E1S3_104732,E12_E1S3,RGC,16499,18412
E12_E1S3_104733,E12_E1S3,RGC,16498,18526
E12_E1S3_104750,E12_E1S3,RGC,16499,18141
E12_E1S3_104757,E12_E1S3,RGC,16507,18553
E12_E1S3_104767,E12_E1S3,RGC,16510,18087
E12_E1S3_104768,E12_E1S3,RGC,16504,18300
E12_E1S3_104782,E12_E1S3,GlioB,16505,18758
E12_E1S3_104792,E12_E1S3,GlioB,16510,18723
E12_E1S3_104804,E12_E1S3,NeuB,16511,18221
E12_E1S3_104805,E12_E1S3,GlioB,16517,18844
E12_E1S3_104813,E12_E1S3,NeuB,16511,18494
E12_E1S3_104814,E12_E1S3,GlioB,16511,18784
E12_E1S3_104815,E12_E1S3,GlioB,16511,18808
E12_E1S3_104826,E12_E1S3,RGC,16519,18580
E12_E1S3_104835,E12_E1S3,RGC,16510,18042
E12_E1S3_104836,E12_E1S3,Fibro,16521,18938
E12_E1S3_104843,E12_E1S3,RGC,16516,18433
E12_E1S3_104844,E12_E1S3,Ery,16512,18893
E12_E1S3_104850,E12_E1S3,RGC,16506,18603
E12_E1S3_104867,E12_E1S3,GluNeuB,16519,18206
E12_E1S3_104868,E12_E1S3,NeuB,16516,18661
E12_E1S3_104876,E12_E1S3,GluNeuB,16517,18238
E12_E1S3_104877,E12_E1S3,RGC,16517,18463
